sbbcat_code,sbbcat_nednaam,bht_code,bht_naam,sbbcat_kenm
15A2a,"Ass. Wondklaver en Nachtsilene, subass Muurpeper",N01.02,Duin- en kwelderlandschap,2
15A2a,"Ass. Wondklaver en Nachtsilene, subass Muurpeper",N08.02,Open duin,2
15A2a,"Ass. Wondklaver en Nachtsilene, subass Muurpeper",N11.01,Droog schraalland,1
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N12.01,Bloemdijk,3
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N11.01,Droog schraalland,3
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N12.02,Kruiden- en faunarijk grasland,2
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N07.01,Droge heide,3
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N01.02,Duin- en kwelderlandschap,2
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N01.03,Rivier- en moeraslandschap,2
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N01.04,Zand- en kalklandschap,2
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N12.03,Glanshaverhooiland,2
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N12.06,Ruigteveld,2
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N14.01,Rivier- en beekbegeleidend bos,2
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N14.03,Haagbeuken- en essenbos,2
37-b,RG Eenst.meidoorn-Sleed.-Hondsroos[Kl.Doornstr.],N15.01,Duinbos,2
16A1a,"Blauwgrasland, typische subassociatie",N10.01,Nat schraalland,1
31C1,Slangekruid-associatie,N12.02,Kruiden- en faunarijk grasland,3
31C1,Slangekruid-associatie,N11.01,Droog schraalland,3
31C1,Slangekruid-associatie,N08.02,Open duin,2
31C1,Slangekruid-associatie,N01.03,Rivier- en moeraslandschap,3
31C1,Slangekruid-associatie,N01.02,Duin- en kwelderlandschap,3
31C1,Slangekruid-associatie,N12.03,Glanshaverhooiland,3
42A1d,"Berken-eikenbos, subassociatie van Pijpestrootje",N14.02,Hoog- en laagveenbos,3
42A1d,"Berken-eikenbos, subassociatie van Pijpestrootje",N15.01,Duinbos,3
42A1d,"Berken-eikenbos, subassociatie van Pijpestrootje",N15.02,"Dennen-, eiken- en beukenbos",1
42A1d,"Berken-eikenbos, subassociatie van Pijpestrootje",N01.02,Duin- en kwelderlandschap,3
42A1d,"Berken-eikenbos, subassociatie van Pijpestrootje",N01.04,Zand- en kalklandschap,2
33A6,Kruidvlier-associatie,N01.04,Zand- en kalklandschap,3
33A6,Kruidvlier-associatie,N01.03,Rivier- en moeraslandschap,3
33A6,Kruidvlier-associatie,N12.01,Bloemdijk,3
33A6,Kruidvlier-associatie,N14.03,Haagbeuken- en essenbos,3
33A6,Kruidvlier-associatie,N12.02,Kruiden- en faunarijk grasland,3
33A6,Kruidvlier-associatie,N12.06,Ruigteveld,3
08B3a,"Riet-associatie, typische subassociatie",N12.06,Ruigteveld,3
08B3a,"Riet-associatie, typische subassociatie",N12.04,Zilt- en overstromingsgrasland,3
08B3a,"Riet-associatie, typische subassociatie",N12.02,Kruiden- en faunarijk grasland,3
08B3a,"Riet-associatie, typische subassociatie",N13.02,Wintergastenweide,3
08B3a,"Riet-associatie, typische subassociatie",N13.01,Vochtig weidevogelgrasland,3
08B3a,"Riet-associatie, typische subassociatie",N10.02,Vochtig hooiland,3
08B3a,"Riet-associatie, typische subassociatie",N10.01,Nat schraalland,3
08B3a,"Riet-associatie, typische subassociatie",N01.03,Rivier- en moeraslandschap,2
08B3a,"Riet-associatie, typische subassociatie",N01.02,Duin- en kwelderlandschap,3
08B3a,"Riet-associatie, typische subassociatie",N02.01,Rivier,3
08B3a,"Riet-associatie, typische subassociatie",N04.02,Zoete plas,3
08B3a,"Riet-associatie, typische subassociatie",N04.04,Afgesloten zeearm,3
08B3a,"Riet-associatie, typische subassociatie",N05.01,Moeras,1
08B3a,"Riet-associatie, typische subassociatie",N05.02,Gemaaid rietland,2
16A-e,RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps],N01.04,Zand- en kalklandschap,3
16A-e,RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps],N01.03,Rivier- en moeraslandschap,3
16A-e,RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps],N10.01,Nat schraalland,3
16A-e,RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps],N10.02,Vochtig hooiland,3
16A-e,RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps],N06.06,Zuur ven of hoogveenven,2
16A-e,RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps],N06.01,Veenmosrietland en moerasheide,2
