sbbcat_code,sbbcat_wetabr,sbbcat_wetname,sbbcat_syntaxonparent,sbbcat_nedabr,sbbcat_nedname
15A2a,Anthyllido-Silenetum  sedetosum,Anthyllido-Silenetum  sedetosum,15A2,"Ass. Wondklaver en Nachtsilene, subass Muurpeper","Associatie van Wondklaver en Nachtsilene, subassociatie van Muurpeper"
01-c,RG Lemna minuta-[Lemnetea minoris],RG Lemna minuta-[Lemnetea minoris],01,RG Dwergkroos [Eendenkroos-klasse],RG Dwergkroos [Eendenkroos-klasse]
01-d,RG Potamogeton natans-[Potametea/Lemnetea minoris],RG Potamogeton natans-[Potametea/Lemnetea minoris],01,RG Drijvend fonteinkruid [Fonteinkruiden-klasse/Eendenkroos-klasse],RG Drijvend fonteinkruid [Fonteinkruiden-klasse/Eendenkroos-klasse]
04-b,RG Nitella mucronata-[Charetea fragilis/Potametea],RG Nitella mucronata-[Charetea fragilis/Potametea],04,RG Puntdragend kranswier [Kranswieren-klasse/Fonteinkruiden-klasse],RG Puntdragend kranswier [Kranswieren-klasse/Fonteinkruiden-klasse]
05B5,Nymphaeetum candidae,Nymphaeetum candidae,05B,Associatie van Noordelijke waterlelie,Associatie van Noordelijke waterlelie
05B-a,RG Nuphar lutea-[Nymphaeion],RG Nuphar lutea-[Nymphaeion],05B,RG Gele plomp [Waterlelieverbond],RG Gele plomp [Waterlelieverbond]
05D-d,RG Potamogeton mucronatus-[Parvopotamion],RG Potamogeton mucronatus-[Parvopotamion],05D,RG Puntig fonteinkruid-[Verbond der kleine Fonteinkruiden],RG Puntig fonteinkruid-[Verbond der kleine Fonteinkruiden]
05E-b,RG Luronium natans-[Ranunculion peltati],RG Luronium natans-[Ranunculion peltati],05E,RG Drijvende waterweegbree [Verbond van Grote waterranonkel],RG Drijvende waterweegbree [Verbond van Grote waterranonkel]
05-j,RG Nitella flexilis-[Nitellion flexilis/Potametea],RG Nitella flexilis-[Nitellion flexilis/Potametea],05,RG Buigzaam glanswier [Kranswieren-klasse/Fonteinkruiden-klasse],RG Buigzaam glanswier [Kranswieren-klasse/Fonteinkruiden-klasse]
05-k,RG Nitella mucronata-[Charetea fragilis/Potametea],RG Nitella mucronata-[Charetea fragilis/Potametea],05,RG Puntdragend kranswier [Kranswieren-klasse/Fonteinkruiden-klasse],RG Puntdragend kranswier [Kranswieren-klasse/Fonteinkruiden-klasse]
05-l,RG Zannichellia palustris subsp. palustris-[Potametea],RG Zannichellia palustris subsp. palustris-[Potametea],05,RG Zittende zannichellia [Fonteinkruiden-klasse],RG Zittende zannichellia [Fonteinkruiden-klasse]
05/a,DG Myriophyllum aquaticum-[Potametea],DG Myriophyllum aquaticum-[Potametea],05,DG Parelvederkruid [Fonteinkruiden-klasse],DG Parelvederkruid [Fonteinkruiden-klasse]
06-f,RG Apium inundatum-[Littorelletea],RG Apium inundatum-[Littorelletea],06,RG Ondergedoken moerasscherm-[Oeverkruid-klasse],RG Ondergedoken moerasscherm-[Oeverkruid-klasse]
06-g,RG Hypericum elodes-[Littorelletea],RG Hypericum elodes-[Littorelletea],06,RG Moerashertshooi [Oeverkruid-klasse],RG Moerashertshooi [Oeverkruid-klasse]
06-h,RG Potamogeton natans-[Littorelletea],RG Potamogeton natans-[Littorelletea],06,RG Drijvend fonteinkruid [Oeverkruid-klasse],RG Drijvend fonteinkruid [Oeverkruid-klasse]
06-i,RG Lythrum portula-[Bidentetea tripartitae/Littorelletea],RG Lythrum portula-[Bidentetea tripartitae/Littorelletea],06,RG Waterpostelein [Tandzaad-klasse/Oeverkruid-klasse],RG Waterpostelein [Tandzaad-klasse/Oeverkruid-klasse]
06/b,DG Crassula helmsii-[Littorelletea],DG Crassula helmsii-[Littorelletea],06,RG Watercrassula [Oeverkruid-klasse],RG Watercrassula [Oeverkruid-klasse]
07B,Cratoneurion commutati,Cratoneurion commutati,07,Verbond van Geveerd diknerfmos ,Verbond van Geveerd diknerfmos 
07B1,Pellio endiviifoliae-Cratoneuretum commutati,Pellio endiviifoliae-Cratoneuretum commutati,07B,Associatie van Geveerd diknerfmos ,Associatie van Geveerd diknerfmos 
08-p,RG Samolus valerandi-Phragmites australis-[Phragmitetea/Lolio-Potentillion anserinae],RG Samolus valerandi-Phragmites australis-[Phragmitetea/Lolio-Potentillion anserinae],08,RG Waterpunge en Riet [Riet-klasse/Zilverschoon-verbond],RG Waterpunge en Riet [Riet-klasse/Zilverschoon-verbond]
08-o,RG Eleocharis acicularis-[Phragmitetea],RG Eleocharis acicularis-[Phragmitetea],08,RG Naaldwaterbies [Riet-klasse],RG Naaldwaterbies [Riet-klasse]
08-q,RG Lythrum salicaria-[Phragmitetea/Convolvulo-Filipenduletea],RG Lythrum salicaria-[Phragmitetea/Convolvulo-Filipenduletea],08,RG Grote kattenstaart [Riet-klasse/Klasse van de natte strooiselruigten],RG Grote kattenstaart [Riet-klasse/Klasse van de natte strooiselruigten]
08-r,RG Lysimachia vulgaris-Phragmites australis-[Phragmitetea/Convolvulo-Filipenduletea],RG Lysimachia vulgaris-Phragmites australis-[Phragmitetea/Convolvulo-Filipenduletea],08,RG Grote wederik en Riet [Riet-klasse/Klasse van de natte strooiselruigten],RG Grote wederik en Riet [Riet-klasse/Klasse van de natte strooiselruigten]
08-s,RG Juncus subnodulosus-Salix repens-[Parvocaricetea/Phragmitetea],RG Juncus subnodulosus-Salix repens-[Parvocaricetea/Phragmitetea],08,RG Paddenrus en Kruipwilg [Klasse van de kleine zeggen/Riet-klasse],RG Paddenrus en Kruipwilg [Klasse van de kleine zeggen/Riet-klasse]
08/b,DG Myriophyllum aquaticum-[Phragmitetea],DG Myriophyllum aquaticum-[Phragmitetea],08,DG Haakveenmos-Slank veenmos-[Riet-klasse],DG Haakveenmos-Slank veenmos-[Riet-klasse]
09C5,Carici flavae-Cratoneuretum filicini,Carici flavae-Cratoneuretum filicini,09C,Associatie van Bonte paardestaart & Kruipwilg,Associatie van Bonte paardestaart & Kruipwilg
09-n,RG Warnstorfia fluitans-[Parvocaricetea/Scheuchzerietea],RG Warnstorfia fluitans-[Parvocaricetea/Scheuchzerietea],09,RG Ven-sikkelmos-[Klasse der kleine Zeggen/Klasse van hoogveenslenken],RG Ven-sikkelmos-[Klasse der kleine Zeggen/Klasse van hoogveenslenken]
09-p,RG Mentha aquatica-Hydrocotyle vulgaris-[Parvocaricetea],RG Mentha aquatica-Hydrocotyle vulgaris-[Parvocaricetea],09,RG Watermunt en Gewone waternavel [Klasse van de kleine zeggen],RG Watermunt en Gewone waternavel [Klasse van de kleine zeggen]
09-q,RG Carex disticha-[Parvocaricetea],RG Carex disticha-[Parvocaricetea],09,RG Tweerijige zegge [Klasse van de kleine zeggen],RG Tweerijige zegge [Klasse van de kleine zeggen]
09-r,RG Juncus subnodulosus-Salix repens-[Parvocaricetea/Phragmitetea],RG Juncus subnodulosus-Salix repens-[Parvocaricetea/Phragmitetea],09,RG Paddenrus en Kruipwilg [Klasse van de kleine zeggen/Riet-klasse],RG Paddenrus en Kruipwilg [Klasse van de kleine zeggen/Riet-klasse]
09-s,RG Juncus conglomeratus-[Parvocaricetea/Molinio-Arrhenatheretea],RG Juncus conglomeratus-[Parvocaricetea/Molinio-Arrhenatheretea],09,RG Biezenknoppen-[Klasse der kleine zeggen/Klasse der vochtige graslanden],RG Biezenknoppen-[Klasse der kleine zeggen/Klasse der vochtige graslanden]
09-t,RG Phragmites australis-Sphagnum squarrosum-[Phragmitetea/Parvocaricetea],RG Phragmites australis-Sphagnum squarrosum-[Phragmitetea/Parvocaricetea],09,RG Riet en Haakveenmos [Riet-klasse/Klasse van de kleine zeggen],RG Riet en Haakveenmos [Riet-klasse/Klasse van de kleine zeggen]
09-u,RG Carex oederi subsp. oederi-[Parvocaricetea],RG Carex oederi subsp. oederi-[Parvocaricetea],09,RG Dwergzegge [Klasse van de kleine zeggen],RG Dwergzegge [Klasse van de kleine zeggen]
12A1e,Plantagini-Lolietum plantaginetosum coronopodis,Plantagini-Lolietum plantaginetosum coronopodis,12A1,Associatie van Engels raaigras en Grote weegbree; subassociatie met Hertshoornweegbree,Associatie van Engels raaigras en Grote weegbree; subassociatie met Hertshoornweegbree
12A-b,RG Gnaphalium luteo-album-[Nanocyperion flavescentis/Polygonion avicularis],RG Gnaphalium luteo-album-[Nanocyperion flavescentis/Polygonion avicularis],12A,RG Bleekgele droogbloem [Dwergbiezen-verbond/Varkensgras-verbond ],RG Bleekgele droogbloem [Dwergbiezen-verbond/Varkensgras-verbond ]
12B-n,RG Jacobaea aquatica-[Lolio-Potentillion anserinae],RG Jacobaea aquatica-[Lolio-Potentillion anserinae],12B,RG Waterkruiskruid [Zilverschoon-verbond],RG Waterkruiskruid [Zilverschoon-verbond]
12B-o,RG Samolus valerandi-Phragmites australis-[Phragmitetea/Lolio-Potentillion anserinae],RG Samolus valerandi-Phragmites australis-[Phragmitetea/Lolio-Potentillion anserinae],12B,RG Waterpunge en Riet [Riet-klasse/Zilverschoon-verbond],RG Waterpunge en Riet [Riet-klasse/Zilverschoon-verbond]
12-c,RG Rumex obtusifolius-[Galio-Urticetea/Plantaginetea majoris],RG Rumex obtusifolius-[Galio-Urticetea/Plantaginetea majoris],12,RG Ridderzuring-[Klasse der Nitrofiele zomen/Weegbree-klasse],RG Ridderzuring-[Klasse der Nitrofiele zomen/Weegbree-klasse]
12-d,RG Potentilla reptans-[Plantaginetea majoris/Molinio-Arrhenatheretea],RG Potentilla reptans-[Plantaginetea majoris/Molinio-Arrhenatheretea],12,RG Vijfvingerkruid-[Weegbree-klasse/Klasse der matig voedselrijke graslanden],RG Vijfvingerkruid-[Weegbree-klasse/Klasse der matig voedselrijke graslanden]
12-e,RG Ranunculus acris-[Plantaginetea majoris/Molinio-Arrhenatheretea],RG Ranunculus acris-[Plantaginetea majoris/Molinio-Arrhenatheretea],12,RG Scherpe boterbloem-[Weegbree-klasse/Klasse der matig voedselrijke graslanden],RG Scherpe boterbloem-[Weegbree-klasse/Klasse der matig voedselrijke graslanden]
12-f,RG Trifolium pratense-[Plantaginetea majoris/Molinio-Arrhenatheretea],RG Trifolium pratense-[Plantaginetea majoris/Molinio-Arrhenatheretea],12,RG Rode klaver-[Weegbree-klasse/Klasse der matig voedselrijke graslanden],RG Rode klaver-[Weegbree-klasse/Klasse der matig voedselrijke graslanden]
14-u,RG Polypodium vulgare-[Koelerio-Corynephoretea],RG Polypodium vulgare-[Koelerio-Corynephoretea],14,RG Gewone eikvaren-[Klasse der droge graslanden op zandgrond],RG Gewone eikvaren-[Klasse der droge graslanden op zandgrond]
14-v,RG Carex hirta-[Koelerio-Corynephoretea/Artimisietea],RG Carex hirta-[Koelerio-Corynephoretea/Artimisietea],14,RG Boerenwormkruid-Duizendblad-[Klasse der droge graslanden op zandgrond/Bijvoetklasse],RG Boerenwormkruid-Duizendblad-[Klasse der droge graslanden op zandgrond/Bijvoetklasse]
14-w,RG Jacobaea vulgaris-[Koelerio-Corynephoretea],RG Jacobaea vulgaris-[Koelerio-Corynephoretea],14,RG Jakobskruiskruid-[Klasse der droge graslanden op zandgrond],RG Jakobskruiskruid-[Klasse der droge graslanden op zandgrond]
15-h,RG Rhinanthus alectorolophus-Leontodon hispidus-[Festuco-Brometea],RG Rhinanthus alectorolophus-Leontodon hispidus-[Festuco-Brometea],15,RG Hard zwenkgras-[Klasse der droge graslanden op zandgrond - Klasse der droge kalkminnende graslanden],RG Hard zwenkgras-[Klasse der droge graslanden op zandgrond - Klasse der droge kalkminnende graslanden]
16B-g,RG Juncus subnodulosus-[Calthion palustris],RG Juncus subnodulosus-[Calthion palustris],16B,RG Paddenrus [Dotterbloem-verbond],RG Paddenrus [Dotterbloem-verbond]
16-t,RG Juncus conglomeratus-[Parvocaricetea/Molinio-Arrhenatheretea],RG Juncus conglomeratus-[Parvocaricetea/Molinio-Arrhenatheretea],16,RG Biezenknoppen-[Klasse der kleine zeggen/Klasse der vochtige graslanden],RG Biezenknoppen-[Klasse der kleine zeggen/Klasse der vochtige graslanden]
16-u,RG Jacobaea vulgaris-[Molinio-Arrhenatheretea],RG Jacobaea vulgaris-[Molinio-Arrhenatheretea],16,RG Jakobskruiskruid-[Klasse der vochtige graslanden],RG Jakobskruiskruid-[Klasse der vochtige graslanden]
16-v,RG Trifolium pratense-[Plantaginetea majoris/Molinio-Arrhenatheretea],RG Trifolium pratense-[Plantaginetea majoris/Molinio-Arrhenatheretea],16,RG Rode klaver-[Weegbree-klasse/Klasse der matig voedselrijke graslanden],RG Rode klaver-[Weegbree-klasse/Klasse der matig voedselrijke graslanden]
16-w,RG Rhinanthus angustifolius-[Molinio-Arrhenatheretea],RG Rhinanthus angustifolius-[Molinio-Arrhenatheretea],16,RG Grote ratelaar-[Klasse der vochtige graslanden],RG Grote ratelaar-[Klasse der vochtige graslanden]
16-x,RG Anthoxanthum odoratum-[Molinio-Arrhenatheretea],RG Anthoxanthum odoratum-[Molinio-Arrhenatheretea],16,RG Gewoon reukgrasl-[Klasse der vochtige graslanden],RG Gewoon reukgrasl-[Klasse der vochtige graslanden]
16-y,RG Potentilla reptans-[Plantaginetea majoris/Molinio-Arrhenatheretalia],RG Potentilla reptans-[Plantaginetea majoris/Molinio-Arrhenatheretalia],16,RG Vijfvingerkruid-[Weegbree-klasse/Klasse der matig voedselrijke graslanden],RG Vijfvingerkruid-[Weegbree-klasse/Klasse der matig voedselrijke graslanden]
16-z,RG Ranunculus acris-[Plantaginetea majoris/Molinio-Arrhenatheretea],RG Ranunculus acris-[Plantaginetea majoris/Molinio-Arrhenatheretea],16,RG Scherpe boterbloem-[Weegbree-klasse/Klasse der matig voedselrijke graslanden],RG Scherpe boterbloem-[Weegbree-klasse/Klasse der matig voedselrijke graslanden]
16/i,DG Veronica filiformis-[Molinio-Arrhenatheretea],DG Veronica filiformis-[Molinio-Arrhenatheretea],16,DG Draadereprijs-[Klasse der vochtige graslanden],DG Draadereprijs-[Klasse der vochtige graslanden]
18A3,Aulacomnio androgyni-Polypodietum vulgaris,Aulacomnio androgyni-Polypodietum vulgaris,18A,Associatie van Gewone eikvaren en Gewoon knopjesmos ,Associatie van Gewone eikvaren en Gewoon knopjesmos 
18A3a,Aulacomnio androgyni-Polypodietum deschampsietosum,Aulacomnio androgyni-Polypodietum deschampsietosum,18A3,Associatie van Gewone eikvaren en Gewoon knopjesmos; subassociatie met Bochtige smele,Associatie van Gewone eikvaren en Gewoon knopjesmos; subassociatie met Bochtige smele
18A3b,Aulacomnio androgyni-Polypodietum caricetosum arenariae,Aulacomnio androgyni-Polypodietum caricetosum arenariae,18A3,Associatie van Gewone eikvaren en Gewoon knopjesmos; subassociatie met Zandzegge,Associatie van Gewone eikvaren en Gewoon knopjesmos; subassociatie met Zandzegge
18B,Poion nemoralis,Poion nemoralis,18,Schaduwgras-verbond ,Schaduwgras-verbond 
18B1,Veronico chamaedryos-Poetum nemoralis,Veronico chamaedryos-Poetum nemoralis,18B,Schaduwgras-associatie ,Schaduwgras-associatie 
18C,Holco mollis-Athyrion filicis-feminae,Holco mollis-Athyrion filicis-feminae,18,Dubbelloof-verbond ,Dubbelloof-verbond 
18C1,Pseudotaxiphyllo-Phegopteridetum,Pseudotaxiphyllo-Phegopteridetum,18C,Beukvaren-associatie ,Beukvaren-associatie 
18C2,Luzulo luzuloidis-Thelypteridetum limbospermae,Luzulo luzuloidis-Thelypteridetum limbospermae,18C,Stippelvaren-associatie ,Stippelvaren-associatie 
18C-a,RG Blechnum spicant-[Holco mollis-Athyrion filicis-feminae],RG Blechnum spicant-[Holco mollis-Athyrion filicis-feminae],18C,RG Dubbelloof [Dubbelloof-verbond],RG Dubbelloof [Dubbelloof-verbond]
18-c,RG Teucrium scorodonia-[Melampyro pratensis-Holcetea mollis],RG Teucrium scorodonia-[Melampyro pratensis-Holcetea mollis],18,RG Valse salie [Klasse van Gladde witbol en Havikskruiden],RG Valse salie [Klasse van Gladde witbol en Havikskruiden]
18-d,RG Stellaria holostea-[Melampyro pratensis-Holcetea mollis],RG Stellaria holostea-[Melampyro pratensis-Holcetea mollis],18,RG Grote muur [Klasse van Gladde witbol en Havikskruiden],RG Grote muur [Klasse van Gladde witbol en Havikskruiden]
19A1a,Galio hercynici-Festucetum typicum,Galio hercynici-Festucetum typicum,19A1,Associatie van Liggend walstro en Schapengras; typische subassociatie,Associatie van Liggend walstro en Schapengras; typische subassociatie
19A1b,Galio hercynici-Festucetum molinietosum,Galio hercynici-Festucetum molinietosum,19A1,Associatie van Liggend walstro en Schapengras; subassociatie met Pijpenstrootje,Associatie van Liggend walstro en Schapengras; subassociatie met Pijpenstrootje
20/c,DG Pteridium aquilinum-Molinia caerulea-[Calluno-Ulicetea],DG Pteridium aquilinum-Molinia caerulea-[Calluno-Ulicetea],20,DG Adelaarsvaren en Pijpenstrootje-[Klasse der droge heiden],DG Adelaarsvaren en Pijpenstrootje-[Klasse der droge heiden]
22-b,RG Leymus arenarius-[Ammophiletea/Cakiletea],RG Leymus arenarius-[Ammophiletea/Cakiletea],22,RG Zandhaver [Helm-klasse/Klasse der vloedmerkgemeenschappen],RG Zandhaver [Helm-klasse/Klasse der vloedmerkgemeenschappen]
23-c,RG Leymus arenarius-[Ammophiletea/Cakiletea],RG Leymus arenarius-[Ammophiletea/Cakiletea],23,RG Zandhaver [Helm-klasse/Klasse der vloedmerkgemeenschappen],RG Zandhaver [Helm-klasse/Klasse der vloedmerkgemeenschappen]
25A3,Salicornietum decumbentis,Salicornietum decumbentis,25A,Zandzeekraal-associatie,Zandzeekraal-associatie
26-g,RG Plantago maritima-[Asteretea tripolii],RG Plantago maritima-[Asteretea tripolii],26,RG Zeeweegbree [Zeeaster-klasse],RG Zeeweegbree [Zeeaster-klasse]
26-i,RG Cotula coronopifolia-[Bidentetea tripartitae/Asteretea tripolii],RG Cotula coronopifolia-[Bidentetea tripartitae/Asteretea tripolii],26,RG Goudknopje [Tandzaad-klasse/Zeeaster-klasse],RG Goudknopje [Tandzaad-klasse/Zeeaster-klasse]
28A-a,RG Gnaphalium luteo-album-[Nanocyperion flavescentis/Polygonion avicularis],RG Gnaphalium luteo-album-[Nanocyperion flavescentis/Polygonion avicularis],28A,RG Bleekgele droogbloem [Dwergbiezen-verbond/Varkensgras-verbond ],RG Bleekgele droogbloem [Dwergbiezen-verbond/Varkensgras-verbond ]
28-b,RG Juncus articulatus-[Bidentetea tripartitae/Isoeto-Nanojuncetea],RG Juncus articulatus-[Bidentetea tripartitae/Isoeto-Nanojuncetea],28,RG Zomprus [Tandzaad-klasse/Dwergbiezenklasse],RG Zomprus [Tandzaad-klasse/Dwergbiezenklasse]
29-d,RG Cyperus fuscus-[Bidentetea tripartitae],RG Cyperus fuscus-[Bidentetea tripartitae],29,RG Bruin cypergras-[Tandzaad-klasse],RG Bruin cypergras-[Tandzaad-klasse]
29-e,RG Lythrum portula-[Bidentetea tripartitae/Littorelletea],RG Lythrum portula-[Bidentetea tripartitae/Littorelletea],29,RG Waterpostelein-[Tandzaad-klasse/Oeverkruid-klasse],RG Waterpostelein-[Tandzaad-klasse/Oeverkruid-klasse]
29-f,RG Cotula coronopifolia-[Bidentetea tripartitae/Asteretea tripolii],RG Cotula coronopifolia-[Bidentetea tripartitae/Asteretea tripolii],29,RG Goudknopje-[Tandzaad-klasse/Zeeaster-klasse],RG Goudknopje-[Tandzaad-klasse/Zeeaster-klasse]
29-g,RG Juncus articulatus-[Bidentetea tripartitae/Isoeto-Nanojuncetea],RG Juncus articulatus-[Bidentetea tripartitae/Isoeto-Nanojuncetea],29,RG Zomprus-[Tandzaad-klasse/Dwergbiezenklasse],RG Zomprus-[Tandzaad-klasse/Dwergbiezenklasse]
29-h,RG Pulicaria vulgaris-[Bidentetea tripartitae],RG Pulicaria vulgaris-[Bidentetea tripartitae],29,RG Klein vlooienkruid-[Tandzaad-klasse],RG Klein vlooienkruid-[Tandzaad-klasse]
30-f,RG Brassica napus-[Stellarietea mediae],RG Brassica napus-[Stellarietea mediae],30,RG Koolzaad-[Klasse der akkergemeenschappen],RG Koolzaad-[Klasse der akkergemeenschappen]
30-g,RG Sinapis arvensis-[Stellarietea mediae],RG Sinapis arvensis-[Stellarietea mediae],30,RG Herik-[Klasse der akkergemeenschappen],RG Herik-[Klasse der akkergemeenschappen]
30-h,RG Brassica nigra-[Stellarietea mediae/Artemisietea vulgaris],RG Brassica nigra-[Stellarietea mediae/Artemisietea vulgaris],30,RG Zwarte mosterd-[Klasse der akkergemeenschappen/Bijvoetklasse],RG Zwarte mosterd-[Klasse der akkergemeenschappen/Bijvoetklasse]
31D3,Tanaceto-Artemisietum,Tanaceto-Artemisietum,31D,Wormkruid-associatie,Wormkruid-associatie
31-k,RG Lepidium draba-[Artemisietea vulgaris],RG Lepidium draba-[Artemisietea vulgaris],31,RG Pijlkruidkers-[Bijvoet-klasse],RG Pijlkruidkers-[Bijvoet-klasse]
31-l,RG Senecio inaequidens-[Artemisietea vulgaris],RG Senecio inaequidens-[Artemisietea vulgaris],31,RG Bezemkruiskruid-[Bijvoet-klasse],RG Bezemkruiskruid-[Bijvoet-klasse]
31-m,RG Brassica nigra-[Stellarietea mediae/Artemisietea vulgaris],RG Brassica nigra-[Stellarietea mediae/Artemisietea vulgaris],31,RG Zwarte mosterd-[Klasse der akkergemeenschappen/Bijvoetklasse],RG Zwarte mosterd-[Klasse der akkergemeenschappen/Bijvoetklasse]
32-j,RG Lythrum salicaria-[Phragmitetea/Convolvulo-Filipenduletea],RG Lythrum salicaria-[Phragmitetea/Convolvulo-Filipenduletea],32,RG Grote kattenstaart [Riet-klasse/Klasse van de natte strooiselruigten],RG Grote kattenstaart [Riet-klasse/Klasse van de natte strooiselruigten]
