SPECIES_NR,WETNAAM,NEDNAAM,SYNONYM,VALID_NR,GROEP,HIDE,GENUS_WET,GENUS_NED,FAM_NR
1,Acer campestre,Spaanse aak,0,1,1,0,Acer,Esdoorn,101.0
2,Acer pseudoplatanus,Gewone esdoorn,0,2,1,0,Acer,Esdoorn,101.0
3,Aceras anthropophorum,,1,3,1,0,Aceras,Poppenorchis,35.0
3,Orchis anthropophora,Poppenorchis,0,3,1,0,Orchis,Orchis,35.0
4,Achillea millefolium,Gewoon duizendblad,0,4,1,0,Achillea,Duizendblad,136.0
5,Achillea ptarmica,Wilde bertram,0,5,1,0,Achillea,Duizendblad,136.0
6,Aconitum vulparia,Gele monnikskap,0,6,1,0,Aconitum,Monnikskap,50.0
7,Acorus calamus,Kalmoes,0,7,1,0,Acorus,Kalmoes,21.0
8,Actaea spicata,Christoffelkruid,0,8,1,0,Actaea,Christoffelkruid,50.0
9,Adonis vernalis,Voorjaarsadonis,0,9,1,1,Adonis,Adonis,50.0
10,Adoxa moschatellina,Muskuskruid,0,10,1,0,Adoxa,Muskuskruid,132.0
11,Aegopodium podagraria,Zevenblad,0,11,1,0,Aegopodium,Zevenblad,131.0
12,Aethusa cynapium,Hondspeterselie,0,12,1,0,Aethusa,Hondspeterselie,131.0
13,Agrimonia eupatoria,Gewone agrimonie,0,13,1,0,Agrimonia,Agrimonie,83.0
14,Agrimonia procera,Welriekende agrimonie,0,14,1,0,Agrimonia,Agrimonie,83.0
15,Agrostemma githago,Bolderik,0,15,1,0,Agrostemma,Bolderik,58.0
16,Agrostis canina s.l. (vóór ca. 1980),,1,16,1,1,Agrostis,Struisgras,44.0
16,Agrostis canina/vinealis,Moeras-/Zandstruisgras,0,16,1,0,Agrostis,Struisgras,44.0
17,Agrostis gigantea,Hoog struisgras,0,17,1,0,Agrostis,Struisgras,44.0
18,Agrostis stolonifera,Fioringras,0,18,1,0,Agrostis,Struisgras,44.0
19,Agrostis capillaris,Gewoon struisgras,0,19,1,0,Agrostis,Struisgras,44.0
19,Agrostis tenuis,,1,19,1,1,Agrostis,Struisgras,44.0
20,Aira caryophyllea,Zilverhaver,0,20,1,0,Aira,Dwerghaver,44.0
21,Aira praecox,Vroege haver,0,21,1,0,Aira,Dwerghaver,44.0
22,Ajuga chamaepitys,Akkerzenegroen,0,22,1,0,Ajuga,Zenegroen,123.0
23,Ajuga genevensis,Harig zenegroen,0,23,1,1,Ajuga,Zenegroen,123.0
24,Ajuga reptans,Kruipend zenegroen,0,24,1,0,Ajuga,Zenegroen,123.0
25,Alchemilla vulgaris s.l.,Vrouwenmantel (groep),0,25,1,0,Alchemilla,Vrouwenmantel,83.0
26,Alisma gramineum,Smalle waterweegbree,0,26,1,0,Alisma,Waterweegbree,25.0
27,Alisma lanceolatum,Slanke waterweegbree,0,27,1,0,Alisma,Waterweegbree,25.0
28,Alisma plantago-aquatica,Grote waterweegbree,0,28,1,0,Alisma,Waterweegbree,25.0
29,Alliaria officinalis,,1,29,1,1,Alliaria,Look-zonder-look,97.0
29,Alliaria petiolata,Look-zonder-look,0,29,1,0,Alliaria,Look-zonder-look,97.0
30,Allium carinatum,Berglook,0,30,1,0,Allium,Look,39.0
31,Allium oleraceum,Moeslook,0,31,1,0,Allium,Look,39.0
32,Allium schoenoprasum,Bieslook,0,32,1,0,Allium,Look,39.0
33,Allium scorodoprasum,Slangenlook,0,33,1,0,Allium,Look,39.0
34,Allium ursinum,Daslook,0,34,1,0,Allium,Look,39.0
35,Allium vineale,Kraailook,0,35,1,0,Allium,Look,39.0
36,Alnus glutinosa,Zwarte els,0,36,1,0,Alnus,Els,93.0
37,Alnus incana,Witte els,0,37,1,0,Alnus,Els,93.0
38,Alopecurus aequalis,Rosse vossenstaart,0,38,1,0,Alopecurus,Vossenstaart,44.0
39,Alopecurus bulbosus,Knolvossenstaart,0,39,1,0,Alopecurus,Vossenstaart,44.0
40,Alopecurus geniculatus,Geknikte vossenstaart,0,40,1,0,Alopecurus,Vossenstaart,44.0
41,Alopecurus myosuroides,Duist,0,41,1,0,Alopecurus,Vossenstaart,44.0
42,Alopecurus pratensis,Grote vossenstaart,0,42,1,0,Alopecurus,Vossenstaart,44.0
43,Althaea officinalis,Heemst,0,43,1,0,Althaea,Heemst,98.0
44,Alyssum alyssoides,Bleek schildzaad,0,44,1,0,Alyssum,Schildzaad,97.0
45,Amaranthus angustifolius,,1,45,1,1,Amaranthus,Amarant,59.0
45,Amaranthus graecizans,Afrikaanse amarant,0,45,1,0,Amaranthus,Amarant,59.0
46,Amaranthus blitum,Kleine majer,0,46,1,0,Amaranthus,Amarant,59.0
46,Amaranthus lividus,,1,46,1,1,Amaranthus,Amarant,59.0
47,Amaranthus retroflexus,Papegaaienkruid,0,47,1,0,Amaranthus,Amarant,59.0
48,Ambrosia artemisiifolia,Alsemambrosia,0,48,1,0,Ambrosia,Ambrosia,136.0
49,Ammocalamagrostis baltica (x),,1,49,1,1,Ammocalamagrostis,,44.0
49,Ammophila arenaria x Calamagrostis epigejos,,1,49,1,0,Ammophila,Helm,44.0
49,Ammophila baltica,,1,49,1,1,Ammophila,Helm,44.0
49,Calammophila baltica (x),Noordse helm,0,49,1,0,Calammophila,,44.0
50,Ammophila arenaria,Helm,0,50,1,0,Ammophila,Helm,44.0
51,Anacamptis pyramidalis,Hondskruid,0,51,1,0,Anacamptis,Hondskruid,35.0
52,Anagallis arvensis s. arvensis,Rood guichelheil,0,52,1,0,Anagallis,Guichelheil,109.0
52,Anagallis arvensis s. phoenicea,,1,52,1,1,Anagallis,Guichelheil,109.0
53,Anagallis tenella,Teer guichelheil,0,53,1,0,Anagallis,Guichelheil,109.0
54,Anchusa officinalis,Gewone ossentong,0,54,1,0,Anchusa,Ossentong,113.0
55,Andromeda polifolia,Lavendelhei,0,55,1,0,Andromeda,Lavendelhei,112.0
56,Anemone nemorosa,Bosanemoon,0,56,1,0,Anemone,Anemoon,50.0
57,Anemone pulsatilla,,1,57,1,1,Anemone,Anemoon,50.0
