PARENT,CODE,WETNAAM,NEDNAAM,ISPARENT,NEDNAAM_ALT
,r01,Lemnetea minoris,Eendenkroos-klasse,1,Eendenkroos-klasse
r01,r01A,Lemnetalia minoris,Eendenkroos-orde,1,Eendenkroos-orde
r01A,r01AA,Lemnion minoris,Bultkroos-verbond,1,Bultkroos-verbond
r01AA,r01AA01,Wolffio-Lemnetum gibbae,Ass. van Bultkroos en Wortelloos kroos,1,Associatie van Bultkroos en Wortelloos kroos
r01AA01,r01AA01A,Wolffio-Lemnetum typicum,Ass. van Bultkroos en Wortelloos kroos; typische subass.,0,Associatie van Bultkroos en Wortelloos kroos; typische subassociatie
r01AA01,r01AA01B,Wolffio-Lemnetum azolletosum filiculoidis,Ass. van Bultkroos en Wortelloos kroos; subass. met Grote kroosvaren,0,Associatie van Bultkroos en Wortelloos kroos; subassociatie met Grote kroosvaren
r01AA,r01AA02,Lemno-Spirodeletum polyrhizae,Ass. van Veelwortelig kroos,1,Associatie van Veelwortelig kroos
r01AA02,r01AA02A,Lemno-Spirodeletum typicum,Ass. van Veelwortelig kroos; typische subass.,0,Associatie van Veelwortelig kroos; typische subassociatie
r01AA02,r01AA02B,Lemno-Spirodeletum azolletosum carolinianae,Ass. van Veelwortelig kroos; subass. met Kleine kroosvaren,0,Associatie van Veelwortelig kroos; subassociatie met Kleine kroosvaren
r01A,r01AB,Lemnion trisulcae,Puntkroos-verbond,1,Puntkroos-verbond
r01AB,r01AB01,Riccietum fluitantis,Watervorkjes-associatie,1,Watervorkjes-associatie
r01AB01,r01AB01A,Riccietum fluitantis typicum,Watervorkjes-associatie; typische subass.,0,Watervorkjes-associatie; typische subassociatie
r01AB01,r01AB01B,Riccietum fluitantis ricciocarpetosum,Watervorkjes-associatie; subass. met Kroosmos,0,Watervorkjes-associatie; subassociatie met Kroosmos
r01,r01RG01,RG Lemna trisulca-[Lemnion trisulcae],RG Puntkroos [Puntkroos-verbond],0,RG Puntkroos [Puntkroos-verbond]
r01,r01RG02,RG Lemna minor-[Lemnetea minoris],RG Klein kroos [Eendenkroos-klasse],0,RG Klein kroos [Eendenkroos-klasse]
